title,objectid,parentid,filename,format,country,province,city,latitude,longitude,date,season,subject,materials,mass produced vs. hand made,gifted,trip,audio file,description
Green Tile Magnet,green-tile-magnet,,greentile.JPG,image/jpeg,Hungary,Budapest,Budapest,47.4979,19.0402,2022,Summer,,Ceramic,Mass-produced,Not gifted,Europe 2022,,This rectangular magnet emulates a ceramic tile. It is light green with a floral pattern embossed on it. It was purchased at a giftshop outside of Matthias Church.
Barcelona Chat Magnet,barcelona-chat-magnet,,chatnoir.JPG,image/jpeg,Spain,Catalonia,Barcelona,41.3684,2.1536,2023,Summer,Animal/animals,Plastic,Mass-produced,Not gifted,Europe 2023,,"This magnet depicts the 1898 painting Tournée du Chat Noir. It was painted by Theophile Alexandre Steinlen, a French painter. The painting is of a black cat sitting on a red sign that says ""de Rodolphe Salis."""
Teapot House Magnet,teapot-house-magnet,,,compound_object,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Teapot House Magnet Audio,teapot-house-magnet-audio,teapot-house-magnet,sukiteapot.mp3,audio/mp3,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Teapot House Magnet Image,teapot-house-magnet-image,teapot-house-magnet,belgradeteapot.JPG,image/jpeg,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Lady Agnew Magnet,lady-agnew-magnet,,scotlandsargent.JPG,image/jpeg,United Kingdon,Scotland,Edinburgh,55.9509,-3.1957,2022,Spring,,Plastic,Mass-produced,Not gifted,Europe 2022,,"This rectangular magnet depicts the painting ""Lady Agnew of Lochnaw,"" which was painted by John Singer Sargent between 1892 and 1893. The back of the magnet details that the painting is oil on canvas and is 127x101 cm. The painting is of a woman, Gertrude Agnew, in a white dress sitting in a high-backed floral chair."
American Visionary Magnet,american-visionary-magnet,,visionarymuseum.JPG,image/jpeg,United States of America,Maryland,Baltimore,39.27483223,-76.60416425,2024,Spring,,Plastic,Mass-produced,Not gifted,,,"This magnet is from the American Visionary Art Museum in Baltimore, Maryland. It is in the shape of a hand. The word ""howdy"" is spelled out with one letter on the tip of each finger. There is an eye on the palm of the magnet. The background is dark blue with yellow stars. ""American Visionary Art Museum"" is written at the bottom in red, blue, and yellow. "
Joshua Tree Magnet,joshua-tree-magnet,,tabbyroad.JPG,image/jpeg,United States of America,California,,33.8734,-115.901,2024,Spring,Animal/animals,Plastic,Handmade,Not gifted,Route 66,,"This magnet depicts four cats crossing the road via a crosswalk à la the Abbey Road album cover from the Beatles. At the top of the magnet is written ""Tabby Road Joshua Tree."" This magnet was purchased at an artist's co-op right outside the World Famous Crochet Museum in Joshua Tree National Park."
Porto Tile Magnet,porto-tile-magnet,,portotile.JPG,image/jpeg,Portugal,Norte,Porto,41.1579,-8.6291,2022,Spring,,Ceramic,Mass-produced,Not gifted,Europe 2022,,"This rectangular magnet depicts an array of painted blue ceramic tiles. The word ""Portugal"" is printed in the bottom right corner. This magnet was purchased in a gift shop in Porto, Portugal."
Lisbon Tile Magnet,lisbon-tile-magnet,,lisbontile.JPG,image/jpeg,Portugal,Lisboa,Lisbon,38.7223,-9.1393,2022,Spring,,Ceramic,Mass-produced,Not gifted,Europe 2022,,"This square magnet has a white background and the image is printed in blue ink. It is meant to emulate a traditional portuguese ceramic tile. The image is of a tram car driving down a residential street. ""Lisboa Portugal"" is written at the bottom. It was purchased in a gift shop in Lisbon, Portugal. "
Museu Catalunya Magnet,museu-catalunya-magnet,,cataloniamuseum.JPG,image/jpeg,Spain,Catalonia,Barcelona,41.3684,2.1536,2023,Summer,,Ceramic,Mass-produced,Not gifted,Europe 2023,,This square magnet depicts the National Art Museum of Catalonia. It is made of ceramic and the image is embossed and painted on. It was purchased in the museum gift shop.
Three Tillamook Magnets,three-tillamook-magnets,,threecheeses.JPG,image/jpeg,United States of America,Oregon,Tillamook,45.484,-123.8443,2024,Spring,Food,Plastic,Mass-produced,Not gifted,,,"This set of three magnets was purchased at the Tillamook Creamery gift shop in Tillamook, Oregon. They are meant to be blocks of cheddar cheese. The yellow magnet says ""medium cheddar,"" the red magnet says ""sharp cheddar,"" and the navy blue magnet says ""extra sharp cheddar."" "
Three Oranges,three-oranges-magnets,,,compound_object,Serbia,Vojvodina,Vrśac,45.1188,21.295,2023,Summer,Food,Plaster,Handmade,Not gifted,Europe 2023,yes,"These three circular magnets are made to look like oranges. One is a whole orange, unpeeled, and the other two are sliced oranges where you can see each individual segment. They were purchased from an artist at Vrsacki Venac, which is the Festival of the Wreath of Vrśac."
Three Oranges Audio,three-oranges-audio,three-oranges-magnets,sukithreeoranges,audio/mp3,,,,,,,Summer,,,Handmade,Not gifted,Europe 2023,yes,
Three Oranges Magnets Image,three-orange-magnets-image,three-oranges-magnets,threeoranges.JPG,image/jpeg,Serbia,Vojvodina,Vrśac,45.1188,21.295,2023,Summer,Food,Plaster,Handmade,Not gifted,Europe 2023,yes,"These three circular magnets are made to look like oranges. One is a whole orange, unpeeled, and the other two are sliced oranges where you can see each individual segment. They were purchased from an artist at Vrsacki Venac, which is the Festival of the Wreath of Vrśac."
Plaster Bust Magnet,plaster-bust-magnet,,,compound_object,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Plaster Bust Magnet Audio,plaster-bust-magnet-audio,plaster-bust-magnet,sukiplasterbust,audio/mp3,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Plaster Bust Magnet,plaster-bust-magnet-image,plaster-bust-magnet,vrsacbust.JPG,image/jpeg,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Gijón Statue Magnet,gijón-statue-magnet,,gijonsign.JPG,image/jpeg,Spain,Asturias,Gijón,43.5322,-5.661,2022,Spring,,Metal,Mass-produced,Not gifted,Europe 2022,,"This magnet is a miniature version of a large statue in the costal city of Gijón, Spain. It is made of metal and the word ""gijón"" is written in red, lowercase letters. It was purchased in a gift shop during a solo trip I took to Asturias, Spain to visit my former host mom."
